Row [417] (14, 13) : 1.0
Row [418] (15, 13) : 1.0
Row [419] (16, 13) : 1.0
Row [420] (17, 13) : 1.0
Row [421] (18, 13) : 1.0
Row [422] (19, 13) : 1.0
Row [423] (20, 13) : 1.0
Row [424] (21, 13) : 1.0
Row [425] (22, 13) : 0.0
Row [426] (23, 13) : 0.0
Row [427] (24, 13) : 0.0
Row [428] (25, 13) : 0.0
Row [429] (26, 13) : 0.0
Row [430] (27, 13) : 0.0
Row [431] (28, 13) : 0.0
Row [432] (29, 13) : 0.0
Row [433] (30, 13) : 0.0
Row [434] (0, 14) : 0.0
Row [435] (1, 14) : 0.0
Row [436] (2, 14) : 0.0
Row [437] (3, 14) : 0.0
Row [438] (4, 14) : 0.0
Row [439] (5, 14) : 0.0
Row [440] (6, 14) : 0.0
Row [441] (7, 14) : 0.0
Row [442] (8, 14) : 0.0
Row [443] (9, 14) : 0.0
Row [444] (10, 14) : 0.0
Row [445] (11, 14) : 1.0
Row [446] (12, 14) : 1.0
Row [447] (13, 14) : 1.0
Row [448] (14, 14) : 1.0
Row [449] (15, 14) : 1.0
Row [450] (16, 14) : 1.0
Row [451] (17, 14) : 1.0
Row [452] (18, 14) : 1.0
Row [453] (19, 14) : 1.0
Row [454] (20, 14) : 1.0
Row [455] (21, 14) : 1.0
Row [456] (22, 14) : 0.0
Row [457] (23, 14) : 0.0
Row [458] (24, 14) : 0.0
Row [459] (25, 14) : 0.0
Row [460] (26, 14) : 0.0
Row [461] (27, 14) : 0.0
Row [462] (28, 14) : 0.0
Row [463] (29, 14) : 0.0
Row [464] (30, 14) : 0.0
Row [465] (0, 15) : 0.0
Row [466] (1, 15) : 0.0
Row [467] (2, 15) : 0.0
Row [468] (3, 15) : 0.0
Row [469] (4, 15) : 0.0
Row [470] (5, 15) : 0.0
Row [471] (6, 15) : 0.0
Row [472] (7, 15) : 0.0
Row [473] (8, 15) : 0.0
Row [474] (9, 15) : 0.0
Row [475] (10, 15) : 0.0
